symptom,show_output,root_cause,fix,osi_layer,severity,category
"PC on VLAN 10 cannot reach PC on VLAN 10 connected to a different switch","Switch# show vlan brief
VLAN Name                             Status    Ports
10   Sales                            active    Fa0/1, Fa0/2
20   Engineering                      active    Fa0/3, Fa0/4","Access port on the second switch is assigned to VLAN 20 instead of VLAN 10, causing a VLAN mismatch across the link","Reassign the access port to VLAN 10 with 'switchport access vlan 10' and verify with 'show vlan brief'",2,High,VLAN
"Devices on a trunk link intermittently lose connectivity and CDP native VLAN mismatch warnings appear in the log","Switch# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SwitchB GigabitEthernet0/1 (99)","The native VLAN configured on Gi0/1 is VLAN 1 on this switch but VLAN 99 on the neighboring switch","Set matching native VLANs on both ends with 'switchport trunk native vlan 99' and confirm consistency",2,Medium,Trunk
"Trunk port between two switches is not passing tagged traffic for any VLAN","Switch# show interfaces gigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: static access
Trunking Encapsulation: Negotiate","The trunk failed to negotiate 802.1q encapsulation because the switch model requires it to be set explicitly with 'switchport trunk encapsulation dot1q' before trunk mode is applied","Configure 'switchport trunk encapsulation dot1q' then 'switchport mode trunk' on Gi0/1",2,High,Trunk
"New laptops joining the Sales VLAN fail to receive an IP address while existing devices keep working","Router# show ip dhcp pool SALES_POOL
Pool SALES_POOL :
 Utilization mark (high/low)    : 100 / 0
 Total addresses                : 254
 Leased addresses               : 254
 Excluded addresses             : 3
 Pending event                  : none","The DHCP pool for the Sales VLAN is fully leased out, exhausting all available addresses","Expand the pool's network/prefix, shorten the lease duration, or add a secondary DHCP scope; verify with 'show ip dhcp pool SALES_POOL'",3,High,DHCP
"Clients on VLAN 30 are receiving IP addresses from the VLAN 20 subnet and cannot communicate locally","Router# show running-config | section dhcp
ip dhcp pool VLAN30_POOL
 network 192.168.20.0 255.255.255.0
 default-router 192.168.30.1","The DHCP pool intended for VLAN 30 was configured with the VLAN 20 network range, handing out mismatched addresses","Correct the 'network' statement in VLAN30_POOL to 192.168.30.0 255.255.255.0 and restart the DHCP service",3,High,DHCP
"All hosts on a subnet can reach local devices but cannot reach the internet or other VLANs","PC> ipconfig
IPv4 Address. . . . . . . . . . . : 192.168.10.50
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 192.168.1.1","The default gateway configured on the host (192.168.1.1) is not on the same subnet as the host's IP address, so gateway traffic cannot be delivered","Correct the default gateway to 192.168.10.1 (the router subinterface for that VLAN) via DHCP scope or static config",3,High,Routing
"Two PCs on the same VLAN report intermittent connectivity loss and an IP conflict warning appears","PC> ipconfig /all
An error occurred while renewing interface Local Area Connection : IP address conflict detected on 192.168.10.20 with MAC 0060.2F8B.0912","Two devices were statically assigned the same IP address (192.168.10.20), causing an address conflict on the LAN","Reassign one device to a unique IP address outside the DHCP pool range or convert it to DHCP; verify with 'show ip dhcp binding'",3,Medium,DHCP
"A workstation configured with a static IP cannot communicate with any device outside its own /30-sized view of the network","PC> ipconfig
IPv4 Address. . . . . . . . . . . : 192.168.10.45
Subnet Mask . . . . . . . . . . . : 255.255.255.252
Default Gateway . . . . . . . . . : 192.168.10.1","The subnet mask (/30) is far too small for the intended /24 network, causing the host to believe most of the subnet, including its gateway, is unreachable","Correct the subnet mask to 255.255.255.0 to match the VLAN's addressing plan",3,High,Routing
"Branch router can ping directly connected networks but cannot reach the head-office network across the WAN link","Router# show ip route
Gateway of last resort is not set
     192.168.10.0/24 is directly connected, GigabitEthernet0/0
     10.0.0.0/30 is directly connected, Serial0/0/0","No static or default route exists pointing toward the head-office network (172.16.0.0/16) or the WAN next hop","Add a static route 'ip route 172.16.0.0 255.255.0.0 10.0.0.2' or configure 'ip route 0.0.0.0 0.0.0.0 10.0.0.2' as a default route",3,High,Routing
"Remote administrator cannot establish an SSH session to a router even though the service is enabled and reachable by ping","Router# show access-lists
Extended IP access list BLOCK_MGMT
    10 deny tcp any any eq 22
    20 permit ip any any
Router# show run | include access-class
line vty 0 4
 access-class BLOCK_MGMT in","Access-list BLOCK_MGMT explicitly denies TCP port 22 (SSH) and is applied inbound on the VTY lines","Add a permit entry above the deny for the management subnet, e.g. 'permit tcp 192.168.100.0 0.0.0.255 any eq 22', or remove the deny 22 line",7,High,ACL
"Users cannot open internal web application over HTTP even though the server responds to ping","Router# show access-lists WEB_FILTER
Extended IP access list WEB_FILTER
    10 deny tcp any any eq 80
    20 permit ip any any","Access-list WEB_FILTER blocks TCP port 80 (HTTP) traffic destined to the server, applied on the router interface facing the clients","Modify ACL to permit TCP port 80 to the server's address specifically, or remove the blanket deny statement",7,Medium,ACL
"Telnet access to a switch from the management VLAN fails with connection refused / timed out","Switch# show access-lists
Standard IP access list 10
    10 deny   192.168.99.0, wildcard bits 0.0.0.255
    20 permit any
Switch# show run | include access-class
line vty 0 15
 access-class 10 in","ACL 10 denies the entire management subnet 192.168.99.0/24 from Telnet access on the VTY lines","Update ACL 10 to permit the management subnet or add a specific permit statement above the deny, then reapply",7,Medium,ACL
"Internal hosts behind NAT cannot reach the internet even though the ISP link is up and routing is correct","Router# show ip nat translations
Router# show ip nat statistics
Total active translations: 0 (0 static, 0 dynamic; 0 extended)
Peak translations: 0","No NAT translations are being created because the inside/outside interface roles were never designated with 'ip nat inside'/'ip nat outside'","Apply 'ip nat inside' on the LAN-facing interface and 'ip nat outside' on the WAN-facing interface, then verify with 'show ip nat translations'",3,High,NAT
"Only a handful of internal hosts can reach the internet at a time; others get connection timeouts during business hours","Router# show ip nat statistics
Total active translations: 253 (0 static, 253 dynamic; 0 extended)
Hits: 91820  Misses: 4021
Pool NAT_POOL: netmask 255.255.255.248
 start 203.0.113.1 end 203.0.113.6
 total addresses 6, allocated 6 (100%), misses 4021","The NAT address pool (only 6 public addresses) is exhausted under normal load, causing PAT/NAT overload failures for additional hosts","Expand the NAT pool size or convert to a single-address 'ip nat inside source list 1 interface GigabitEthernet0/0 overload' configuration",3,Medium,NAT
"A branch office reports total loss of internet access after a small config change; NAT stopped translating any traffic","Router# show run | section nat
ip nat inside source list 1 pool NAT_POOL overload
!
access-list 1 deny any","The NAT source access-list (ACL 1) was mistakenly configured to deny all traffic instead of permitting the inside network, so nothing matches for translation","Change 'access-list 1 deny any' to 'access-list 1 permit 192.168.10.0 0.0.0.255' to correctly match inside hosts for NAT",3,High,NAT
"A redundant link between two switches has been disabled by Spanning Tree, and users complain of reduced bandwidth","Switch# show spanning-tree
VLAN0010
  Spanning tree enabled protocol ieee
Interface           Role Sts Cost      Prio.Nbr Type
-------------------- ---- --- --------- -------- --------
Gi0/1                Root FWD 4         128.1    P2p
Gi0/2                Altn BLK 4         128.2    P2p","Spanning Tree Protocol has correctly placed Gi0/2 into blocking state to prevent a Layer 2 loop, which is expected behavior on a redundant topology without EtherChannel","This is normal STP behavior; if more bandwidth is desired, configure EtherChannel (LACP) across both links to bundle them instead of relying on a blocked redundant path",2,Low,STP
"A user's PC was accidentally connected into a hub creating a switching loop, and now the whole floor loses connectivity intermittently","Switch# show spanning-tree summary
Root bridge for: none
Extended system ID enabled
%SPANTREE-2-LOOPGUARD_BLOCK: Loop guard blocking port Fa0/5 on VLAN0010","A Layer 2 loop was introduced when a hub/switch was cross-connected, but Loop Guard correctly blocked the offending port before a broadcast storm could form","Remove the improperly cross-connected cable creating the loop, then verify the port using 'shutdown' / 'no shutdown' to clear the Loop Guard block",2,Critical,STP
"An access port connected to an end-user PC transitioned to err-disabled after the PC was rebooted with a hub attached","Switch# show interfaces status err-disabled
Port      Name               Status       Reason
Fa0/8                        err-disabled  bpduguard
%PM-4-ERR_DISABLE: bpduguard error detected on Fa0/8, putting Fa0/8 in err-disable state","PortFast was enabled on Fa0/8 without disabling BPDU Guard, and the port received a BPDU (from the hub-connected device or loop), tripping BPDU Guard and disabling the port","Remove the offending loop/device, then recover the port with 'shutdown' followed by 'no shutdown', or enable 'errdisable recovery cause bpduguard'",2,Medium,STP
"All hosts on a subnet can reach IP addresses directly but cannot browse to any websites by name","PC> nslookup www.cisco.com
DNS request timed out.
   timeout was 2 seconds.
*** Request to UnKnown timed out
PC> ping 8.8.8.8
Reply from 8.8.8.8: bytes=32 time=10ms TTL=128","The configured DNS server address is unreachable from the client subnet, so name resolution requests never receive a response even though internet routing works","Verify the DNS server is reachable, correct the DNS server IP in the DHCP scope or client config, and confirm with 'nslookup'",7,Medium,DNS
"Users report that www.internal.corp resolves to the wrong server and loads an outdated website","Server# show dns-server host-entries
www.internal.corp    A     192.168.1.50   (should be 192.168.1.150)","An incorrect/stale A record maps www.internal.corp to the old server's address instead of the current web server", "Update the DNS host entry to point www.internal.corp to 192.168.1.150 and clear client DNS caches",7,Low,DNS
"A laptop cannot find the office wireless network in its available networks list","AccessPoint# show running-config | section ssid
interface Dot11Radio0
 ssid CorpWiFi-Secure
Client radio configured SSID: CorpNet-Secure","The SSID configured on the client (CorpNet-Secure) does not match the access point's broadcast SSID (CorpWiFi-Secure)","Reconfigure the client to connect using the correct SSID 'CorpWiFi-Secure', or rename the AP SSID to match documented standards",1,Low,Wireless
